Date and UTC Time,MMSI,Lat,Lon,SOG,HDG,COG,ROT
03-08-19 09:16:32, 250004806, 50.859830, -1.311305, 4.1, 185.7, 185.7, 0.0
03-08-19 09:17:02, 250004806, 50.859220, -1.311352, 4.2, 183.1, 183.1, 0.0
03-08-19 09:17:08, 367440770, 50.876423, -1.303347, 0.0, 256.0, 223.6, 0.0
03-08-19 09:18:32, 250004806, 50.857427, -1.310977, 4.4, 174.0, 174.0, 0.0
03-08-19 09:19:02, 250004806, 50.856827, -1.310832, 4.3, 166.4, 166.4, 0.0
03-08-19 09:19:32, 250004806, 50.856243, -1.310597, 4.4, 171.2, 171.2, 0.0
03-08-19 09:20:02, 250004806, 50.855625, -1.310477, 4.3, 172.6, 172.6, 0.0
03-08-19 09:20:09, 367440770, 50.876433, -1.303373, 0.1, 255.0, 223.6, 0.0
03-08-19 09:20:32, 250004806, 50.855032, -1.310295, 4.4, 168.0, 168.0, 0.0
03-08-19 09:21:02, 250004806, 50.854448, -1.310062, 4.2, 163.3, 163.3, 0.0
03-08-19 09:21:33, 250004806, 50.853823, -1.309790, 4.3, 160.8, 160.8, 0.0
03-08-19 09:22:05, 250004806, 50.853218, -1.309492, 4.4, 165.4, 165.4, 0.0
03-08-19 09:22:32, 250004806, 50.852673, -1.309277, 4.4, 163.9, 163.9, 0.0
03-08-19 09:23:03, 250004806, 50.852030, -1.308977, 4.4, 161.2, 161.2, 0.0
03-08-19 09:23:11, 367440770, 50.876417, -1.303372, 0.0, 258.0, 223.6, 0.0
03-08-19 09:24:02, 250004806, 50.850863, -1.308563, 4.3, 170.4, 170.4, 0.0
03-08-19 09:24:32, 250004806, 50.850232, -1.308468, 4.6, 181.2, 181.2, 0.0
03-08-19 09:25:01, 250004806, 50.849585, -1.308605, 4.9, 184.9, 184.9, 0.0
03-08-19 09:25:32, 250004806, 50.848882, -1.308860, 5.2, 197.2, 197.2, 0.0
03-08-19 09:26:02, 250004806, 50.848173, -1.309240, 5.3, 199.8, 199.8, 0.0
03-08-19 09:26:11, 367440770, 50.875537, -1.306338, 5.6, 230.0, 230.5, 0.0
03-08-19 09:26:37, 367440770, 50.875113, -1.307182, 5.6, 235.0, 233.5, 0.0
03-08-19 09:26:41, 250004806, 50.847490, -1.309675, 5.2, 205.9, 205.9, 0.0
03-08-19 09:27:02, 250004806, 50.846823, -1.310250, 5.2, 208.9, 208.9, 0.0
03-08-19 09:27:33, 250004806, 50.846152, -1.310810, 5.4, 207.7, 207.7, 0.0
03-08-19 09:27:41, 367440770, 50.874023, -1.309125, 5.6, 214.0, 220.6, 0.0
03-08-19 09:28:02, 250004806, 50.845552, -1.311355, 5.3, 209.7, 209.7, 0.0
